1, 11, 1, 13, 20, 19, 8, 11, 10, 4, 14, 20, 16, 9, 15, 19, 14, 6, 9, 4, 2, 3, 14, 1, 7, 5, 17 ; 36
19, 14, 13, 17, 5, 0, 11, 2, 9, 20, 3, 10, 10, 0, 8, 19, 18 ; 61
6, 8, 18, 14, 17, 0, 11, 5, 13, 13, 16, 3, 3, 16, 16, 20, 13, 2, 12, 17, 16, 11, 16, 19, 16, 11, 13, 3, 13, 4, 1, 15 ; 93
11, 13, 17, 15, 12, 0, 8, 11, 4, 7, 18 ; 51
9, 18, 12, 4, 1, 2, 4, 1, 13, 10, 7, 10, 4, 15, 5, 16, 17, 7, 10, 7, 4, 15, 0, 19, 12, 6, 0, 6, 14, 13, 5, 0, 19, 16, 20, 0, 12, 1, 17, 2, 5, 9, 2 ; 92
8, 11, 7, 15, 2, 0, 14, 7, 12, 11, 13, 5, 8, 15, 1, 9, 12, 8, 14, 10, 9, 19, 16, 6, 15, 19, 8, 11, 7, 18, 15, 13, 16, 2, 7, 6, 13, 5, 8, 9, 9, 12, 1 ; 67
5, 18, 9, 20, 8, 19, 0, 0, 3, 2, 16, 14, 8, 15, 6, 6, 7, 13, 8, 5, 7, 17, 1, 7, 11, 5, 12, 19, 3, 11, 9, 17, 13, 20 ; 72
3, 15, 20, 15, 14, 20, 1, 8, 18, 14, 0, 1, 19, 13, 14, 16, 20, 2, 19, 18, 10, 14, 12, 17, 10, 12, 13, 7, 15, 12, 20, 14, 17, 7, 4, 1, 20, 10, 5, 1, 8 ; 81
7, 5, 13 ; 33
4, 13, 7, 8, 5, 0, 2, 8, 5, 9, 0, 9, 13, 12, 17, 14, 16, 0, 1, 15, 8, 8, 6, 14, 6, 8, 0, 9, 16, 15, 12, 5, 11, 14, 13 ; 8
14, 2, 1, 3, 0, 5, 12, 4, 1, 11, 18, 20, 5, 17, 11, 16, 0, 0, 14, 7, 14, 4, 14, 8, 20, 3, 6, 1, 19, 5, 6, 4, 16, 15, 8, 12, 17, 0, 5, 16, 8 ; 96
0, 17, 5, 8, 9, 18, 14, 10, 0, 14, 15, 20, 14, 14, 9, 15, 7, 4, 11, 15, 16, 0, 19, 10, 0, 18, 5, 15, 9, 17, 14, 5, 13, 4, 20, 12, 18, 18, 18, 9 ; 22
11, 19, 11, 5, 12, 19, 7, 9, 4, 2, 11, 18, 10, 14, 18, 15, 11, 0, 12, 14, 4, 19, 13 ; 38
1, 15, 16, 4, 15, 5, 16, 1, 12, 20, 0, 0, 8, 20, 2, 15, 14, 6, 12 ; 66
4 ; 54
0, 0, 4, 0, 19, 1, 2, 10, 17, 8, 17, 0, 1, 5, 1, 3, 13, 14 ; 99
17, 13, 19, 7, 17, 15, 17, 16, 17, 17, 10, 4 ; 64
15, 1, 15, 8, 11 ; 28
15, 16, 20, 3, 8, 2, 18, 16, 0, 3, 10, 1, 16, 19, 11, 17, 14, 17, 1, 17, 12, 15, 9, 14 ; 2
7, 12, 0, 10, 19, 20, 10, 16, 14 ; 77
4, 14, 16, 10, 1, 16, 14, 14, 8, 11, 10, 18, 6, 1, 7, 5 ; 50
12, 19, 16, 7, 5, 8, 0, 16, 19, 4, 8, 9, 11, 9, 14, 12, 10, 20, 10, 17, 0, 8, 4, 20, 1, 20, 15, 10, 2, 15, 16, 14, 3, 11, 15, 13, 20, 7, 9, 8, 20, 6, 7, 19, 15, 17, 12, 1, 18 ; 76
12, 19, 20, 5, 10, 7, 11, 8 ; 58
19, 6, 4, 16, 18, 6, 0, 4, 14, 19, 3, 3, 14, 11, 1, 0, 19, 3, 9, 20, 18 ; 18
0 ; 97
9, 16, 4, 14, 2, 9, 11, 20, 18, 8, 18, 15, 8, 11, 7, 17, 6, 5, 19, 11, 8 ; 46
17, 9, 13, 6, 1, 3, 12, 20, 11, 8, 9, 10 ; 74
0, 20, 18, 7, 15, 10, 3, 10, 8, 8, 13, 15, 6, 2, 19, 12, 0, 6, 11, 16, 10, 2, 6, 4, 8, 18, 11, 20 ; 57
0, 9, 4, 8, 18, 7, 19, 15, 7, 3, 14, 9, 2, 8, 13, 12, 13, 17, 19, 12, 14, 11, 9, 15, 20, 0, 15, 12, 15, 6, 15, 16, 12, 16, 18, 7, 9, 6, 12, 19, 0, 1, 18, 16, 15, 17 ; 98
8, 12, 8, 7, 2, 1, 16, 3, 0, 13, 3, 15, 9, 16, 15, 6, 6, 17, 12 ; 67
13, 0, 18, 6, 17, 16, 17, 3, 20, 0, 7, 14, 3, 15, 11, 8, 20, 12, 2, 2 ; 74
1, 2, 17, 2, 7, 6, 1, 12, 18, 8, 16, 0, 17, 14, 5, 15, 4, 8 ; 23
7, 14, 12, 9, 1, 8, 10, 4, 13, 4, 6, 2, 6, 6, 1, 0, 1, 11, 1, 10, 2, 14, 0, 2, 4, 5, 17 ; 79
5, 18, 10, 1, 19, 19, 9, 16, 2, 16 ; 90
2, 14, 5, 11, 17, 11, 17, 3, 0, 0, 10, 0, 0, 18, 2, 9, 13, 6, 1, 12, 19, 2, 2, 3, 9, 16, 14, 1, 16, 4, 1, 13, 11, 15, 2, 3, 3, 4, 19 ; 36
18, 5, 16, 10, 4, 6, 2, 8, 10, 5, 16, 1, 13, 1, 2, 17, 4, 2, 1, 14, 15, 18 ; 13
11, 13, 5, 4, 16, 18, 20, 20, 0, 20, 12, 7, 17, 2, 1, 2, 12, 4, 8, 17, 3, 8, 14, 9, 13, 14, 14, 7, 6, 10, 15, 14, 11, 17, 3, 1, 19, 10, 3 ; 25
19, 12, 10, 2, 17, 3, 12, 13, 5, 6, 2, 17, 16, 18, 18, 7, 8, 19, 16, 1, 12, 10, 0, 15, 7, 4, 1, 16, 19, 4, 14, 1, 15, 12, 19, 15, 7, 16, 6, 5, 19, 5, 11, 6, 17, 4, 12, 18, 3 ; 52
10, 1, 14, 4, 9, 15, 14, 9, 1, 14, 13 ; 45
10, 16, 1, 7, 3, 19, 14, 7, 11, 8, 6, 20, 15, 5, 12, 11, 9, 10, 11, 18, 9, 12, 6, 9, 0, 1, 14, 1, 2, 13, 12 ; 60
13, 17, 20, 11, 15, 18, 5, 7, 18, 6, 8, 2, 16, 9, 15, 8, 11, 3, 11, 0, 4, 9, 7, 2, 8, 9, 4, 2, 5, 2, 3, 17, 0, 15, 15, 7, 16, 18, 4, 8, 10, 1, 4, 11, 3, 4 ; 89
20, 13, 8, 9, 8 ; 66
3, 9, 12, 3, 2, 8, 14, 12, 19, 20, 16, 2 ; 12
8, 17, 0, 19, 2, 8, 12, 18, 17, 11 ; 34
10, 2, 0, 12, 8, 4, 12, 16, 1, 19, 17, 9, 10, 13, 17, 18, 18, 1, 1, 17 ; 24
19, 9, 13 ; 44
4, 20, 0, 11, 10, 0, 9, 16, 6, 20, 19, 20, 10, 18, 12, 5, 19, 16, 2, 20, 19, 3, 14, 13, 8, 2, 10, 15, 18, 4, 6, 2, 7, 2, 19, 17, 3, 16, 9, 13, 9, 15, 6, 4, 13, 15, 17, 8 ; 12
14, 17, 3, 19, 8, 6, 7, 15, 11, 11, 19, 5, 0, 11, 5, 19, 19, 1, 13, 20, 15, 6, 0, 14, 0, 19, 5, 20, 0, 7, 10, 12, 6, 2, 13, 17, 6, 11, 0 ; 74
19, 3, 1, 16, 8, 5, 12, 20, 4, 7, 12, 0, 16, 0, 9, 7, 2, 16, 8, 9, 14, 13, 0, 20, 16, 12, 11, 11, 10, 5, 18, 8, 13, 18, 3, 11, 1, 11, 8, 11, 6 ; 81
1, 18, 7, 3, 11, 13, 7, 18, 8, 3, 2, 17, 12, 3, 9, 2, 15, 18, 10, 8, 10, 1, 19, 2, 13, 9, 19 ; 31
20, 6, 5, 16, 10 ; 21
16, 14, 11, 10, 7, 15, 13, 20, 20, 0, 17, 5, 5, 6, 13, 15, 7, 19, 0, 18, 12, 2, 4, 1, 16, 0, 6, 13, 19, 13, 1, 6, 0, 20, 10, 11, 4, 13, 9, 14, 8 ; 45
11, 13, 2, 6, 7, 19, 11, 13, 4, 12, 9, 14, 17, 1, 4, 8, 9, 2, 6, 6, 17, 17, 20, 2, 1, 8, 1, 8, 5, 4, 6, 16, 10, 19, 2, 17, 13, 11, 18, 10, 12, 2, 19, 12, 2, 18, 16, 17 ; 78
4, 14, 14, 8, 7, 13, 7, 5, 11, 6, 15, 5, 8, 5, 14, 12, 16, 10, 10, 14, 14, 9, 20, 4, 14, 0, 20, 2, 1, 11, 11, 0, 0, 7, 9, 2, 17, 3, 16, 13, 12, 5 ; 29
15, 17, 0, 20, 11, 16, 3, 17, 8, 11 ; 72
7, 16, 10, 12, 0, 6, 20, 9, 2, 15, 3, 8, 9, 8, 6, 2, 20, 20, 5, 13, 6, 1, 7, 14, 7, 7, 1, 19, 8, 4, 8, 10, 2, 0, 15, 20, 15, 14, 16, 6, 16, 9, 0, 15, 7, 11, 19, 6, 18 ; 44
16, 18, 7, 4, 19, 19, 6, 4, 1, 2, 8, 16, 1, 12, 6, 7, 12, 14, 15, 5, 17, 2, 2, 7, 13, 6, 11, 20, 18, 15, 14, 14, 18, 12, 3, 8, 20, 8, 14, 17, 15, 3, 6 ; 53
1, 1, 17, 18, 18, 15, 20, 2, 16, 8, 15, 19, 9, 13, 4, 20, 4, 20, 1, 13, 10, 5, 11, 12, 6, 0, 2, 7, 7, 18, 8, 11, 6, 0 ; 23
10, 8, 0, 3, 17, 0, 15, 19, 15, 7, 10, 0, 9, 0, 2, 13, 10, 13, 1, 13, 7, 18, 10, 4, 11, 19, 13, 0, 0, 5 ; 72
4, 5, 11, 12, 18, 12, 11, 15, 16, 14, 14, 7, 16, 2, 4, 15, 9 ; 4
18, 12, 0, 10, 12, 3, 16, 20, 18, 16, 1, 16, 20, 11, 3, 20, 15, 2, 12, 6, 18, 14, 3, 17, 11, 12, 12, 18, 2, 20, 6, 9, 8, 10, 13, 17, 7, 13, 15, 9, 13, 10, 17, 14, 5, 13, 6, 4 ; 49
6, 2, 4, 16, 9, 17, 19, 0, 16, 8, 0, 19, 5, 5, 4, 10, 18, 14, 5, 18, 12, 7, 6, 13, 20, 2, 6, 2, 15, 16, 10, 19, 9, 14, 1, 19, 20 ; 52
12, 13, 7, 7, 3, 20, 12, 17, 16, 16, 16, 20, 5, 18, 13, 6, 11, 16, 6, 19, 1, 1, 19, 3, 13, 10, 18, 14, 1, 5, 1, 19, 0, 9, 8, 17, 19, 4, 9, 12, 15, 14, 3, 7, 18 ; 2
18, 0, 17, 5, 0, 16, 5, 10, 10, 1, 12, 5, 18, 3, 14, 15, 10, 16, 20, 0, 15, 1, 18, 20, 8, 12, 5, 12, 5, 7, 18, 15, 8, 0 ; 71
6, 0, 12, 10, 6, 11, 7, 10, 7, 0, 9, 18, 13, 18, 8, 8, 17 ; 20
19, 13, 2, 18, 2, 7, 6, 12, 0, 14, 17, 19, 13, 8, 2, 10, 10, 20 ; 92
10, 20, 7, 17, 0, 14, 2, 16, 19, 9, 11, 16, 5, 6, 2, 16, 0, 18, 1, 7, 15, 18, 19, 12, 16 ; 43
14, 8, 4, 19, 6, 0, 9, 2, 1, 2, 0, 6, 12, 20, 10, 9, 0, 10, 17, 18, 8, 10, 17, 11, 16, 12, 14, 8, 14, 12, 1, 13, 4, 16, 14, 0, 1, 6, 14, 2, 10, 14, 13 ; 41
3, 9, 0, 19, 20, 14, 2, 4, 4, 15, 20, 16, 0, 9, 5, 16, 8, 10, 9, 9, 8, 9, 9, 1, 20, 1, 14, 19, 19, 18, 12, 5, 1, 10, 1, 16, 1, 7 ; 56
7, 3, 15, 15, 19, 9, 6, 16, 6, 13, 3, 11, 0 ; 96
20, 19, 15, 20, 14, 5, 1, 15 ; 16
4, 13, 14, 20, 17, 0, 3, 16, 1, 7, 17, 14, 0, 9, 1, 8, 1, 4 ; 95
11, 3, 20, 11, 14, 7, 13, 0, 7, 3, 5, 5, 15 ; 32
11, 19, 17, 4, 18, 9, 17, 19, 15, 20, 0, 0, 7, 13, 12, 11, 7, 10, 17, 12, 19, 11, 20, 15, 20, 16 ; 63
7, 12, 1, 2, 16, 1, 17, 10, 10, 17, 2, 13, 11, 13, 20, 9, 9, 16, 9, 19, 20, 8, 18, 14, 1, 7, 17, 17, 3, 3, 8, 20, 3, 10, 6 ; 32
15, 1, 3, 10, 10, 12, 13, 5, 4, 2, 13, 9, 13, 18, 16, 15, 11, 4, 12, 18, 18, 11, 12, 4, 6, 14, 12, 17, 16, 20, 15, 2, 14, 20, 19, 3, 18, 0, 7, 19, 5, 2, 18, 2, 20, 5, 13, 17 ; 58
15, 13, 6, 20, 9, 2, 17, 13, 11, 18, 8, 17, 1, 7, 15, 17, 16 ; 0
